t,a
19.42,-0.08312
19.44,-0.09655
19.46,-0.11906
19.48,-0.12489
19.5,-0.09916
19.52,-0.04882
19.54,-0.01543
19.56,0.01079
19.58,0.01728
19.6,-0.0324
19.62,-0.09603
19.64,-0.13021
19.66,-0.13202
19.68,-0.1349
19.7,-0.12091
19.72,-0.0899
19.74,-0.09206
19.76,-0.11621
19.78,-0.13646
19.8,-0.11677
19.82,-0.10909
19.84,-0.09218
19.86,-0.02245
19.88,0.05092
19.9,0.08275
19.92,0.06312
19.94,0.05356
19.96,0.0788
19.98,0.11078
20,0.1378
20.02,0.18745
20.04,0.26638
20.06,0.30601
20.08,0.29433
20.1,0.29779
20.12,0.31547
20.14,0.34546
20.16,0.37025
20.18,0.36612
20.2,0.35403
20.22,0.35945
20.24,0.36286
20.26,0.33833
20.28,0.32802
20.3,0.31379
20.32,0.29191
20.34,0.26039
20.36,0.23068
20.38,0.18004
20.4,0.13847
20.42,0.12785
20.44,0.12966
20.46,0.1329
20.48,0.12617
20.5,0.12994
20.52,0.0972
20.54,0.05679
20.56,0.01591
20.58,0.00087
20.6,-0.0117
20.62,-0.02951
20.64,-0.05079
20.66,-0.11304
20.68,-0.1875
20.7,-0.21792
20.72,-0.18641
20.74,-0.14788
20.76,-0.1378
20.78,-0.17167
20.8,-0.18964
20.82,-0.19198
20.84,-0.18836
20.86,-0.21072
20.88,-0.23454
20.9,-0.24419
20.92,-0.24531
20.94,-0.22308
20.96,-0.16312
20.98,-0.10322
21,-0.07406
21.02,-0.07647
21.04,-0.0799
21.06,-0.0718
21.08,-0.05655
21.1,-0.03816
21.12,-0.0379
21.14,-0.02096
21.16,-0.01804
21.18,-0.00715
21.2,-0.00463
21.22,0.01376
21.24,0.02894
21.26,0.07147
21.28,0.10759
21.3,0.07851
21.32,0.03598
21.34,0.05349
21.36,0.11266
21.38,0.14206
21.4,0.12924
21.42,0.10528
21.44,0.10748
21.46,0.13499
21.48,0.18408
21.5,0.20455
21.52,0.18105
21.54,0.13342
21.56,0.12045
21.58,0.117
21.6,0.07763
21.62,0.02316
21.64,-0.02839
21.66,-0.06873
21.68,-0.06001
21.7,-0.03898
21.72,-0.0355
21.74,-0.04562
21.76,-0.0533
21.78,-0.04773
21.8,-0.03688
21.82,-0.04238
21.84,-0.08459
21.86,-0.12059
21.88,-0.15447
21.9,-0.12577
21.92,-0.06457
21.94,-0.05415
21.96,-0.10465
21.98,-0.14115
22,-0.13002
22.02,-0.11155
22.04,-0.1048
22.06,-0.13158
22.08,-0.1509
22.1,-0.16832
22.12,-0.15829
22.14,-0.12356
22.16,-0.09831
22.18,-0.10252
22.2,-0.11741
22.22,-0.13052
22.24,-0.14552
22.26,-0.12723
22.28,-0.102
22.3,-0.09201
22.32,-0.07296
22.34,-0.07082
22.36,-0.06791
22.38,-0.04648
22.4,-0.0423
22.42,-0.04545
22.44,-0.08388
22.46,-0.11788
22.48,-0.1093
22.5,-0.07461
22.52,-0.04867
22.54,-0.04762
22.56,-0.07168
22.58,-0.07915
22.6,-0.07171
22.62,-0.06018
22.64,-0.0253
22.66,0.00045
22.68,0.02497
22.7,0.03902
22.72,0.06117
22.74,0.07414
22.76,0.0741
22.78,0.05836
22.8,0.03398
22.82,0.04792
22.84,0.06035
22.86,0.09619
22.88,0.12904
22.9,0.12783
22.92,0.11175
22.94,0.07736
22.96,0.07229
22.98,0.07709
23,0.05832
23.02,0.05168
23.04,0.03913
23.06,0.03768
23.08,0.04712
23.1,0.05836
23.12,0.04344
23.14,0.01255
23.16,0.00935
23.18,0.0243
23.2,0.0533
23.22,0.06846
23.24,0.07366
23.26,0.08208
23.28,0.11615
23.3,0.1207
23.32,0.09322
23.34,0.08003
23.36,0.0785
23.38,0.08198
23.4,0.08867
23.42,0.08063
23.44,0.08504
23.46,0.09654
23.48,0.12313
23.5,0.13183
23.52,0.09833
23.54,0.05783
23.56,0.05899
23.58,0.06399
23.6,0.0467
23.62,0.02143
23.64,0.00447
23.66,0.00793
23.68,0.02253
23.7,0.02381
23.72,0.03468
23.74,0.05407
23.76,0.05832
23.78,0.0501
23.8,0.02105
23.82,0.00853
23.84,0.00522
23.86,0.00781
23.88,-0.00189
23.9,-0.00937
23.92,-0.01196
23.94,-0.00148
23.96,0.0008
23.98,-0.01743
24,-0.03838
24.02,-0.05048
24.04,-0.03857
24.06,-0.03295
24.08,-0.05227
24.1,-0.07735
24.12,-0.08589
24.14,-0.09649
24.16,-0.09892
24.18,-0.0927
24.2,-0.08504
24.22,-0.06457
24.24,-0.06462
24.26,-0.06672
24.28,-0.07754
24.3,-0.08243
24.32,-0.07658
24.34,-0.08113
24.36,-0.09523
24.38,-0.10741
24.4,-0.0863
24.42,-0.06832
24.44,-0.05473
24.46,-0.04784
24.48,-0.03661
24.5,-0.04392
24.52,-0.05591
24.54,-0.0392
24.56,-0.03604
24.58,-0.03075
24.6,-0.02169
24.62,-0.00484
24.64,-0.0091
24.66,-0.0066
24.68,-0.01017
24.7,0.00531
24.72,0.00659
24.74,0.00787
24.76,0.01855
24.78,0.01972
24.8,0.02399
24.82,0.02991
24.84,0.06177
24.86,0.06121
24.88,0.05654
24.9,0.04442
24.92,0.04039
24.94,0.05099
24.96,0.04417
24.98,0.01541
25,0.01924
25.02,0.05077
25.04,0.0753
25.06,0.05688
25.08,0.04098
25.1,0.04572
25.12,0.04271
25.14,0.01588
25.16,0.00813
25.18,0.03669
25.2,0.05108
25.22,0.05642
25.24,0.04677
25.26,0.03527
25.28,0.02337
25.3,0.03958
25.32,0.06851
25.34,0.07517
25.36,0.04941
25.38,0.00498
25.4,-0.02196
25.42,-0.01245
25.44,-0.00949
25.46,0.00325
25.48,0.00842
25.5,-0.00453
25.52,-0.01798
25.54,-0.02725
25.56,-0.02859
25.58,-0.04341
25.6,-0.05967
25.62,-0.07789
25.64,-0.08183
25.66,-0.08745
25.68,-0.08604
25.7,-0.08946
25.72,-0.09731
25.74,-0.07863
25.76,-0.05473
25.78,-0.07649
25.8,-0.10661
25.82,-0.11521
25.84,-0.11165
25.86,-0.09222
25.88,-0.07957
25.9,-0.05867
25.92,-0.03723
25.94,-0.03313
25.96,-0.04453
25.98,-0.04346
26,-0.02958
26.02,-0.00063
26.04,0.03949
26.06,0.05776
26.08,0.0605
26.1,0.04716
26.12,0.05086
26.14,0.06384
26.16,0.09346
26.18,0.13032
26.2,0.14344
26.22,0.15355
26.24,0.13599
26.26,0.10734
26.28,0.08361
26.3,0.09154
26.32,0.11
26.34,0.11948
26.36,0.121
26.38,0.12589
26.4,0.12446
26.42,0.12333
26.44,0.09942
26.46,0.09507
26.48,0.09403
26.5,0.05718
26.52,0.02721
26.54,-0.00355
26.56,0.0009
26.58,-0.01649
26.6,-0.0242
26.62,-0.00902
26.64,-0.00269
26.66,-0.00736
26.68,-0.01577
26.7,-0.02843
26.72,-0.05064
26.74,-0.05951
26.76,-0.08051
26.78,-0.08758
26.8,-0.07992
26.82,-0.07321
26.84,-0.06571
26.86,-0.07022
26.88,-0.09731
26.9,-0.10746
26.92,-0.09458
26.94,-0.07226
26.96,-0.06512
26.98,-0.06827
27,-0.06921
27.02,-0.06433
27.04,-0.04274
27.06,-0.03191
27.08,-0.04065
27.1,-0.04135
27.12,-0.033
27.14,-0.03292
27.16,-0.02131
27.18,0.00977
27.2,-0.00258
27.22,-0.00837
27.24,-0.01191
27.26,-0.01409
27.28,0.00069
27.3,0.01316
27.32,0.02909
27.34,0.03594
27.36,0.01396
27.38,-0.02611
27.4,-0.04002
27.42,-0.05488
27.44,-0.03612
27.46,-0.00894
27.48,0.00442
27.5,0.03329
27.52,0.04724
27.54,0.0426
27.56,0.0081
27.58,-0.00305
27.6,-0.00198
27.62,-0.0021
27.64,0.00991
27.66,0.01982
27.68,0.0598
27.7,0.05349
27.72,0.04202
27.74,0.04014
27.76,0.01797
27.78,0.0123
27.8,0.02335
27.82,0.02885
27.84,0.01718
27.86,0.00158
27.88,-0.01528
27.9,-0.02905
27.92,-0.04445
27.94,-0.03657
27.96,-0.05572
27.98,-0.06741
28,-0.06008
28.02,-0.04964
28.04,-0.03903
28.06,-0.04973
28.08,-0.05388
28.1,-0.07323
28.12,-0.06779
28.14,-0.06336
28.16,-0.07052
28.18,-0.05782
28.2,-0.05225
28.22,-0.04931
28.24,-0.03591
28.26,-0.02537
28.28,-0.02908
28.3,-0.05048
28.32,-0.06179
28.34,-0.05653
28.36,-0.06668
28.38,-0.07732
28.4,-0.0615
28.42,-0.02565
28.44,-0.00723
28.46,-0.00742
28.48,0.0101
28.5,0.04374
28.52,0.06819
28.54,0.08379
28.56,0.11045
28.58,0.12368
28.6,0.11142
28.62,0.1154
28.64,0.12603
28.66,0.1339
28.68,0.13766
28.7,0.16488
28.72,0.17561
28.74,0.15938
28.76,0.14221
28.78,0.14232
28.8,0.14614
28.82,0.13707
28.84,0.13338
28.86,0.12726
28.88,0.13778
28.9,0.14368
28.92,0.14049
28.94,0.11074
28.96,0.09773
28.98,0.07735
29,0.06945
29.02,0.06473
29.04,0.0537
29.06,0.03518
29.08,0.00645
29.1,-0.02158
29.12,-0.03192
29.14,-0.02771
29.16,-0.04456
29.18,-0.04894
29.2,-0.06233
29.22,-0.06987
29.24,-0.07801
29.26,-0.07301
29.28,-0.04921
29.3,-0.03797
29.32,-0.04334
29.34,-0.0655
29.36,-0.07825
29.38,-0.07492
29.4,-0.05827
29.42,-0.04136
29.44,-0.03321
29.46,-0.05765
29.48,-0.07562
29.5,-0.07235
29.52,-0.07042
29.54,-0.03329
